task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
17	89/67430d	1870941	samFlagstatFromBam (1071036)	COMPLETED	0	2021-01-06 11:02:26.279	24.3s	12s	99.6%	9.8 MB	170.1 MB	584.9 MB	4.4 KB
52	8e/9bf6df	1870952	samFlagstatFromBam (116181)	COMPLETED	0	2021-01-06 11:02:26.893	23.7s	13.9s	100.0%	9.8 MB	170.1 MB	533.4 MB	4.4 KB
1	06/21ece8	1870940	samFlagstatFromBam (1007437)	COMPLETED	0	2021-01-06 11:02:26.207	34.3s	26s	99.8%	9.8 MB	170.1 MB	963.8 MB	4.4 KB
18	fe/0b3fdf	1870943	samFlagstatFromBam (1086888)	COMPLETED	0	2021-01-06 11:02:26.391	1m 9s	40.1s	99.9%	9.7 MB	169.9 MB	924.5 MB	4.4 KB
3	08/d51f34	1870948	samFlagstatFromBam (1044945)	COMPLETED	0	2021-01-06 11:02:26.691	1m 9s	24s	99.9%	9.7 MB	169.9 MB	579.5 MB	4.4 KB
31	8e/79948f	1870951	samStatsFromBam (105213)	COMPLETED	0	2021-01-06 11:02:26.851	1m 9s	40.5s	99.9%	9.8 MB	170.1 MB	475.6 MB	4.4 KB
64	bc/c391e5	1870956	samStatsFromBam (1204724)	COMPLETED	0	2021-01-06 11:02:28.062	1m 8s	36.3s	99.8%	9.7 MB	169.9 MB	350.2 MB	4.4 KB
16	1a/2f04b8	1870969	samFlagstatFromBam (105213)	COMPLETED	0	2021-01-06 11:02:28.716	1m 7s	20.7s	56.7%	9.1 MB	169.3 MB	406.6 MB	4.4 KB
38	75/120574	1870970	samStatsFromBam (1071036)	COMPLETED	0	2021-01-06 11:02:28.772	1m 7s	34s	91.3%	9.1 MB	169.3 MB	597.7 MB	4.4 KB
78	86/679dec	1871022	samStatsFromBam (124216)	COMPLETED	0	2021-01-06 11:02:35.091	1m 1s	51.6s	100.4%	9.7 MB	169.9 MB	716 MB	4.4 KB
12	0d/c13a1a	1870949	samFlagstatFromBam (1050843)	COMPLETED	0	2021-01-06 11:02:26.749	1m 29s	1m 6s	100.2%	9.7 MB	169.9 MB	956.6 MB	4.4 KB
39	83/60dc39	1870968	samFlagstatFromBam (1115917)	COMPLETED	0	2021-01-06 11:02:28.667	1m 27s	58.1s	99.7%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
